행정구역별(읍면동),연령별,2010
종로구,0~4세,4613
종로구,5~9세,5380
종로구,10~14세,8095
종로구,15~19세,10512
종로구,20~24세,12483
종로구,25~29세,14383
종로구,30~34세,11382
종로구,35~39세,12016
종로구,40~44세,12184
종로구,45~49세,12504
종로구,50~54세,11764
종로구,55~59세,8949
종로구,60~64세,7503
종로구,65~69세,6939
종로구,70~74세,5487
종로구,75~79세,3509
종로구,80~84세,1994
종로구,85세 이상,1372
사직동,0~4세,342
사직동,5~9세,287
사직동,10~14세,345
사직동,15~19세,464
사직동,20~24세,590
사직동,25~29세,742
사직동,30~34세,738
사직동,35~39세,790
사직동,40~44세,653
사직동,45~49세,685
사직동,50~54세,754
사직동,55~59세,553
사직동,60~64세,467
사직동,65~69세,435
사직동,70~74세,358
사직동,75~79세,246
사직동,80~84세,149
사직동,85세 이상,97
삼청동,0~4세,92
삼청동,5~9세,92
삼청동,10~14세,141
삼청동,15~19세,153
삼청동,20~24세,167
삼청동,25~29세,245
삼청동,30~34세,233
삼청동,35~39세,202
삼청동,40~44세,203
삼청동,45~49세,232
삼청동,50~54세,244
삼청동,55~59세,197
삼청동,60~64세,174
삼청동,65~69세,163
삼청동,70~74세,134
삼청동,75~79세,102
삼청동,80~84세,62
삼청동,85세 이상,53
부암동,0~4세,225
부암동,5~9세,351
부암동,10~14세,664
부암동,15~19세,852
부암동,20~24세,780
부암동,25~29세,641
부암동,30~34세,580
부암동,35~39세,649
부암동,40~44세,911
부암동,45~49세,926
부암동,50~54세,859
부암동,55~59세,609
부암동,60~64세,503
부암동,65~69세,485
부암동,70~74세,394
부암동,75~79세,289
부암동,80~84세,139
부암동,85세 이상,117
평창동,0~4세,495
평창동,5~9세,641
평창동,10~14세,1093
평창동,15~19세,1425
평창동,20~24세,1188
평창동,25~29세,1119
평창동,30~34세,978
평창동,35~39세,1153
평창동,40~44세,1484
평창동,45~49세,1754
평창동,50~54세,1633
평창동,55~59세,1202
평창동,60~64세,910
평창동,65~69세,816
평창동,70~74세,673
평창동,75~79세,454
평창동,80~84세,305
평창동,85세 이상,302
무악동,0~4세,357
무악동,5~9세,432
무악동,10~14세,500
무악동,15~19세,497
무악동,20~24세,453
무악동,25~29세,482
무악동,30~34세,510
무악동,35~39세,752
무악동,40~44세,761
무악동,45~49세,747
무악동,50~54세,668
무악동,55~59세,455
무악동,60~64세,383
무악동,65~69세,332
무악동,70~74세,277
무악동,75~79세,176
무악동,80~84세,103
무악동,85세 이상,58
교남동,0~4세,292
교남동,5~9세,300
교남동,10~14세,350
교남동,15~19세,419
교남동,20~24세,542
교남동,25~29세,691
교남동,30~34세,710
교남동,35~39세,785
교남동,40~44세,590
교남동,45~49세,551
교남동,50~54세,607
교남동,55~59세,501
교남동,60~64세,458
교남동,65~69세,429
교남동,70~74세,313
교남동,75~79세,168
