o_adminnm,Gunja,Gui1,Gui2,Gui3,Gwangjang,Hwayang,Jayang1,Jayang2,Jayang3,Jayang4,Junggok1,Junggok2,Junggok3,Junggok4,Neungdong,others
Gunja,54,0.4,0.9,2.5,1.4,11.5,1.9,0.7,2.3,1.3,3.4,1.3,2.3,2,12.3,1.8
Gui1,0.8,22.1,13.6,18.4,7.3,7,4.2,2.9,11.3,3.9,1.2,1.4,0.9,1.1,2.4,1.5
Gui2,1.7,15.4,29,17.2,6.9,5.1,2.1,2.2,4,1.6,1.3,1.9,0.9,5.6,3.6,1.5
Gui3,1.8,16.9,10.6,32.1,13.7,3.7,3.4,5.4,3.2,2.2,1.1,2,0.9,1.4,0.9,0.7
Gwangjang,1.1,2.9,3,7.9,55.6,1.1,1.2,1.9,0.8,1.1,0.9,0.5,2.2,1.3,16.8,1.7
Hwayang,8.9,4.2,2.3,2.8,1.5,55.7,2.5,4.5,2.7,3.3,1.6,1.2,1.8,1.6,2.3,3.1
Jayang1,2.5,4.1,2.1,2.7,3.2,5,27.8,10.2,22.7,8.2,0.6,2.6,0.5,1.7,3.6,2.5
Jayang2,0.3,2,1.1,4.4,2.7,3.1,7.4,51,16.9,6.1,0.4,0.3,0.5,0.5,2.5,0.8
Jayang3,0.7,2.3,1.9,2.5,1.5,3.4,9,8.5,54.1,12,0.3,0.2,1,1.5,0.9,0.2
Jayang4,1.2,4,2.2,2.9,2.6,4.7,12.3,8.9,27.5,25.7,1,2.3,0.4,0.9,3.1,0.3
Junggok1,6.3,1.5,1.6,1.2,1.3,2.9,2.2,0.7,0.4,2,25.8,21.8,10.8,17.9,3.3,0.3
Junggok2,1.7,1.2,1.6,2.5,2.1,3,2.3,0.5,0.3,1.7,12.3,29.9,10.5,15.8,14.3,0.3
Junggok3,1.8,0.6,1.1,1,1.8,2.3,0.5,0.7,1.8,0.7,9.3,12.1,35.1,21.3,8.6,1.3
Junggok4,1.3,0.9,2.3,2.1,6,2,1.4,0.8,1.5,0.4,11.4,11.6,13.3,43.8,1.2,0
Neungdong,6.5,3,3.1,7,18.3,5.9,1,3.6,1,3.6,3.6,6.8,6.4,1.5,27.2,1.5
