ung,Junghwa1,Junghwa2,Mangwoo,Mangwoobon,Mook1,Mook2,Myeonmok2,Myeonmok3.8,Myeonmok4,Myeonmok5,Myeonmok7,Myeonmokbon,Sangbong1,Sangbong2,Shinnae1,Shinnae2,others
Junghwa1,29.6,22.7,0.6,2.5,4.8,3.6,3.6,0.9,0.8,3,0.5,2.1,12.4,3.5,5.6,3.7,0.1
Junghwa2,17.9,39,1.1,1.9,3.3,8.7,4.7,0.5,3.3,1.8,1.1,1.8,4.4,1.8,5.1,3.4,0.2
Mangwoo,0.6,1.3,26.6,33.5,0.4,0.2,6.8,5.8,2.5,2.5,2.3,4.4,2.5,1.8,6,2.6,0.2
Mangwoobon,0.8,1.1,14.8,52.8,0.5,0.2,2.6,5.2,0.6,0.6,1,4.4,3.2,2.2,5.8,4.2,0
Mook1,3.4,2.9,0.3,0.6,54,14.9,1,0.8,1.2,0.1,0.9,1,3.9,0.8,6.4,7.6,0.2
Mook2,3.2,4.7,0.5,0.8,18.7,56.3,1.2,1.4,0.3,3.9,0.4,1.6,0.9,0.6,2.8,2.7,0
Myeonmok2,2.2,2.4,6.6,3.8,1.2,1,27.3,11.5,9.4,7.3,4.1,8.6,7.3,3.9,1.8,1.6,0
Myeonmok3.8,0.8,0.6,3.9,7.7,0.7,1.1,10,26.4,8.9,6.6,6.7,14.6,3.2,6,1.8,0.8,0.2
Myeonmok4,0.6,2.9,2.5,0.7,1.2,0.4,10.8,13.9,25.7,6.2,10.1,16.2,2.6,1.8,2.9,1.4,0.1
Myeonmok5,2.2,1.6,2.5,1.6,0.1,3.8,11.2,11.8,7.7,28.5,6.8,9.8,1.3,8.1,1.8,1.2,0
Myeonmok7,0.9,0.6,2.5,7.3,1.2,0.5,4.7,8.5,10.8,10.2,35.3,7.4,2.5,5.1,1.3,1,0.2
Myeonmokbon,1.1,1.4,3.1,5.5,0.8,0.8,5.5,16.7,9.3,4.9,4.2,34.7,2.7,2.1,6.1,1,0.1
Sangbong1,5.2,4,2.3,7.3,3.8,0.8,6.1,3.2,1.4,0.7,1.9,3.4,28.8,11.4,10.7,8.2,0.8
Sangbong2,5.7,2.6,2.6,2.7,1.2,1.1,4.2,10.1,2.4,4.5,4.8,4.4,18.5,23.8,8.5,2.9,0
Shinnae1,2.6,2,3,9.5,4.6,3.7,1,1.5,1.7,0.6,0.9,3.9,7.6,1.7,36.3,19.3,0.1
Shinnae2,3.1,1.5,2,5.9,7,1.8,1.7,0.6,0.6,0.6,0.7,2.1,6.1,1.6,29.3,35.2,0.2
