o_adminnm,Gaebong1,Gaebong2,Gaebong3,Garibong,Gocheok1,Gocheok2,Guro1,Guro2,Guro3,Guro4,Oryu1,Oryu2,Shindorim,Sugung,others
Gaebong1,34.5,11.6,7.1,0.2,11.3,5.8,2.1,2.6,1.5,3,5.5,5.3,1.7,6.3,0.1
Gaebong2,17.3,24.4,19.1,0.2,4.2,3.8,4.1,3.9,0.7,1.5,2.8,9.6,0.8,4.7,0
Gaebong3,13.3,16.7,35,0.1,3.7,2.4,1,0.1,5.8,5.9,1.9,2.3,2,7.7,0
Garibong,2,0.3,0.2,41.5,0.3,1.3,4.2,16.7,7.1,8.6,0.7,0.6,1.3,4,1.1
Gocheok1,9.9,2.6,1.9,0,53.2,14.7,1.6,1.9,0.6,2.6,1,1.4,5.3,1.2,0.2
Gocheok2,8.6,2.8,1.9,0.3,22.7,42.3,4.8,3.4,1.3,2.1,1.6,2.3,2.5,0.9,0.2
Guro1,2.8,1.6,0.4,2,3,4.2,31.8,17.3,3.8,9.6,1.6,1,6.3,0.9,0.3
Guro2,0.6,1.3,0.2,2.4,1.8,1.6,3.4,50,11.3,8.1,3.4,0.9,2.9,1,0.2
Guro3,1.6,0.2,3.4,2.6,1.2,1.7,2.8,19.2,20,16.3,1.7,1.2,8.5,3.4,0.3
Guro4,2,0.6,0.3,0.6,1.7,1.1,4.3,8.1,5.4,46.3,0.7,1.3,6.1,9.4,0.9
Oryu1,10.9,1,2.5,0.2,2.6,2.7,1.2,9.6,1.2,1.4,34.2,11.6,12.3,5.2,0.1
Oryu2,5.5,3.8,1,0.1,2,1.9,0.4,1.5,0.6,0.8,5.7,66,1.6,8.3,0
Shindorim,0.9,0.9,0.5,0.5,5.2,1.5,2.9,4.9,3.9,11.5,2.8,1,54,3.6,0.2
Sugung,5.2,2.5,4.1,1,1.4,0.5,0.8,5.1,3.1,15.9,5.2,10.5,4.8,38.5,0
