o_adminnm,Daerim1,Daerim2,Daerim3,Dangsan1,Dangsan2,Dorim,Mullae,Shingil1,Shingil3,Shingil4,Shingil5,Shingil6,Shingil7,Yangpyeong1,Yangpyeong2,Yeoeui,Yeongdeungpo,Yeongdeungpobon,others
Daerim1,23.3,11.9,19.8,0.3,0,0.7,3.4,2.2,1.6,0.1,5.4,2.5,1.4,1.8,4.4,14.8,0.4,5.3,0.7
Daerim2,13,40.9,18.3,1.4,0,1.1,1.1,0.4,0.5,1.3,7.6,2.1,0.3,2.1,0.2,5.2,0.2,3.9,0.4
Daerim3,12.5,12.6,37.3,2.5,3.2,1.8,1.9,2.3,1,1,7.2,2.7,2.2,0.1,0.1,6.8,1,3.2,0.6
Dangsan1,0.2,0.7,2.4,34.7,16.9,0.9,4.1,3.1,0.8,0.1,0.8,0.5,0.4,8.3,6,10.5,2.3,6.8,0.5
Dangsan2,7,0.2,1.3,28,23.7,0.3,12.8,0.4,0.1,0.4,0.4,0.8,2.6,1.6,2.4,8.5,1.1,7.7,0.7
Dorim,1.4,1.5,2.7,1.7,0.9,49.3,17.2,1.9,2.6,0.6,3,1.7,0.7,1.6,0.5,5.7,3.5,3.1,0.4
Mullae,1.7,0.5,1.4,2.9,5.1,3.3,51.4,0.3,0.5,0.2,0.4,1.8,0.4,8.3,2,11,2,6.2,0.6
Shingil1,1.8,0.8,2.9,9.7,0.6,1,0.9,30.6,10,5.8,4.2,7.3,4.3,0.1,0.5,6.3,6.4,6.6,0.2
Shingil3,0.8,1.6,1.8,2.6,0.5,2.1,2.1,10.5,18.6,6,4.9,6.7,3.8,1.4,6.6,7.6,4.7,17.4,0.3
Shingil4,0.5,1.9,2.8,0.3,0.4,0.8,1.4,21.5,7,19.3,2.7,8,7,0.2,1.6,11.7,6,6.1,0.8
Shingil5,5.3,8.1,11,1.4,2.1,2.6,1.2,4.4,4.6,2.3,32.3,5.9,4.4,0.6,0.6,3.7,5,3.6,0.9
Shingil6,2.7,1.8,3.1,3.5,2.6,1.2,5.3,6.2,4,3.1,5.2,33.6,5.9,0.4,0.9,3.9,8.2,7.1,1.3
Shingil7,2.5,3.7,4.1,0.5,4.7,0.8,1.9,7.7,4.3,4.8,7.2,9.9,17.4,4.5,0.4,5.5,5.4,14.6,0.1
Yangpyeong1,0.2,1.2,0.5,12.7,1.4,0.2,11.9,0.1,0.1,0.4,0.7,0.7,0.4,39.1,21.5,3.8,1.9,3.1,0.1
Yangpyeong2,2.2,0.2,0.2,7.5,2.4,0.1,2.5,0.5,2.7,4,0.3,0.6,0.1,22.1,46.2,4.4,0.8,3.1,0.1
Yeoeui,2.3,0.9,2.1,7.7,3,2,7.2,1.5,2,2,1.2,1.4,1.5,1.9,3,39.6,11.8,8,0.9
Yeongdeungpo,1.6,0.4,1.4,2.5,0.3,2.2,4.3,5.9,3.4,2.9,3.3,5,2.3,4,1,26.9,22.6,9.1,0.9
Yeongdeungpobon,1.3,0.6,1.1,3.1,3.8,0.5,3,2,2.3,0.9,0.6,1.7,2.1,3.9,1.1,5.2,1.6,62.6,2.6
