o_adminnm,Boramae,Cheongnim,Cheongryong,Daehak,Euncheon,Haengun,Inheon,Jowon,Jungang,Miseong,Nakseongdae,Namheon,Nangok,Nanhyang,Samseong,Seowon,Shillim,Shinsa,Shinwon,Sunghyeon,others
Boramae,50.4,1.5,2.2,1.6,7.2,2.5,1.7,1.8,6,0.7,1.9,0.6,0.9,0.6,1,1.6,2.8,7.7,2.1,2.5,0.4
Cheongnim,4.9,35.2,4,3.1,1.9,13.3,1.2,0.1,1.1,1.2,0.8,0,0.5,1.2,2.5,4.2,1.9,7.8,2.8,5.6,0.1
Cheongryong,3.4,1.3,54.5,2.4,5.3,2.6,1.7,0.9,2.7,0.7,7.3,0.2,1.9,1.2,0.7,1.9,1.7,4.1,0.1,1,0
Daehak,1.8,0.8,1.6,64.2,1.2,3,0.6,0.3,0.4,0.7,0.5,0.9,1,0.9,5.7,2.9,5.6,5.3,0.8,0.6,0
Euncheon,7.5,0.9,7.8,3.6,36.3,7.9,2.2,0.4,2.2,1.6,1.6,0.1,0.5,1.1,1.6,1.6,1,8.8,0.8,1.2,0.2
Haengun,3.1,6.3,4.4,6.5,6.4,44.5,2.7,0.7,1.8,1.2,3.2,0.5,0.4,1.8,0.4,3.5,3,3.7,0.6,0.2,0.3
Inheon,1.7,0.3,4.3,2.4,1.9,3,60.8,0,1.1,0.6,12.6,1.9,0.4,0.8,0,0.5,0.1,2.6,0.5,1.4,0.1
Jowon,2.3,0.2,1.8,1.3,0.8,0.4,0.2,67.8,0.7,10.8,0,0,3,0.1,1.2,0.3,0.6,4.5,3,0.5,0.5
Jungang,2.8,1.7,9.6,2.2,4.6,3.6,4.1,1.1,49.9,1.9,2.2,0.7,0.5,0.4,0,0.3,1,5.8,0.4,2.8,0.1
Miseong,0.7,0.3,0.4,0.9,1,0.7,0.3,3.6,4.1,58.1,0.3,0.1,5,1,0.5,0.4,1.2,17,3.5,0.6,0.1
Nakseongdae,4.1,0.3,17.5,3.7,2.2,3.9,17.6,0,1.5,0.5,35.6,0.1,0.8,0.3,0.9,1.5,2.1,3.3,1.1,0.1,0.2
Namheon,1.1,0.2,1.2,2.2,0.8,1.3,4.4,0,2.4,0.2,0.4,81.6,0,2.4,0,0,0,0.2,0,0.1,0.1
Nangok,1.3,0.3,3.8,2.4,0.9,0.5,0.5,1.8,0.3,7.1,1.1,0,63.7,3.2,1.7,0.8,2.8,6.2,0.7,0.3,0
Nanhyang,2.1,1,3.7,3.5,1.4,2.5,1,0.7,0.1,2.1,0.2,2.1,6,63.7,3.1,0.6,0.2,4.1,0.9,0.1,0.2
Samseong,2.7,0.9,2.2,8.9,1.8,0.5,0,2.2,0,1.1,1,0,2.2,1.8,55.6,2.1,0.8,12.1,1.6,0.2,0.1
Seowon,3.4,2,10.3,6.1,2.3,3.4,0.4,0.2,0.1,0.8,1.9,0,1.7,0.3,1.8,41.9,5.9,10.8,0.1,2,0
Shillim,5.1,0.1,2.9,4.3,0.5,2.1,0.3,2.1,0,0.7,0.5,0,1,0.1,1.3,1.8,49.9,7.1,0.7,4.9,0
Shinsa,3.8,3.5,5.6,5,4.8,4.3,1.3,1.9,1.5,9.2,1.1,0.5,5.3,1.2,5.1,3.8,6.7,26,3.5,1.5,0.1
Shinwon,3,1.3,0.8,1.1,1.1,0.8,1,2.8,0.3,6,1,0,1.3,0.7,2.3,0.1,0.5,3.9,68.9,2.5,0
Sunghyeon,4.5,1.1,2.8,3.2,4.7,1.8,2.8,0.2,3.6,1.2,0.1,0,0.7,0.1,0.4,1.8,10.1,2.6,1.8,54.1,0.1
