o_adminnm,Amsa1,Amsa2,Amsa3,Cheonho1,Cheonho2,Cheonho3,Dunchon1,Dunchon2,Gangil,Gildong,Godeok1,Godeok2,Myeongil1,Myeongil2,Sangil,Seongnae1,Seongnae2,Seongnae3,others
Amsa1,28.6,12.8,12.5,8.7,9,3.2,0.4,0.6,2.7,4.3,1.9,2.4,4,2.7,1.3,1.4,0.4,1.2,1.9
Amsa2,18.2,28,11.4,6.1,13.3,4.4,0.1,0.4,1.6,1.6,0.6,4.1,2.2,1.8,2.3,1,1,1.1,0.8
Amsa3,19.1,15,14.3,6.1,9.9,4.6,0.1,0.3,0.8,0.8,7.2,3.6,7.2,5.3,2.3,1.4,1,0.8,0.2
Cheonho1,4.7,2.6,2.1,24.9,15.6,9.8,1.5,2.6,3.3,5.3,2.5,2.9,3.9,5.2,2.9,1.6,3.8,2.8,2
Cheonho2,4.7,3.3,2.4,14.8,34.7,12.2,1.2,1.8,1.6,5.3,1.3,1.7,2.3,1.7,1.5,2.1,2.9,2.6,1.9
Cheonho3,3.3,3.5,2.2,14.9,24,11.4,2,2.5,3.6,11.2,2.5,1.8,3.7,2.1,2.8,2.3,2.3,2.3,1.6
Dunchon1,0.8,0.2,0.4,3.1,3.7,2.6,29.1,30.8,1.9,4.7,0.4,0.6,2.6,1.2,1,4.2,5.7,6.2,0.8
Dunchon2,0.3,0.4,0.3,3.1,2.4,2.1,16.8,43.2,1.1,7.3,0.6,1.4,2.1,1.5,0.4,8.2,2.9,5.2,0.7
Gangil,1.9,1.2,0.6,3.3,2.5,3.3,0,0.5,43.9,3.4,3.4,3.8,4.3,6.6,14.6,1.6,0.2,0.1,4.8
Gildong,2.2,0.7,0.4,3.6,5,6.1,2.4,5.7,3.7,52.3,1.1,1,4.6,3.7,1.9,0.7,1.7,1.8,1.4
Godeok1,4.1,1,5.1,4.4,2.9,2.5,0.3,1.6,3.7,2.9,33.5,14.4,7.5,6.6,5.8,1.8,0.5,0.6,0.8
Godeok2,3,4.3,3.5,5.5,3.9,2.8,0.3,2.5,4.5,2.7,14.3,26.8,7,5.1,9.8,1.3,0.7,1.4,0.6
Myeongil1,3.7,1.4,4.4,5.3,4.8,3.2,1.9,2.7,4.4,7.3,7,5.1,15.3,20.2,8.7,1.5,0.9,1.1,1.1
Myeongil2,2.6,3.2,2.5,6.9,4.6,2,0.5,1.5,5.2,5.5,4.6,4,17.7,23,10.2,3.3,0.9,1.2,0.6
Sangil,1.4,1,1.1,3.2,2.7,2.8,0.9,4,13.1,7,3.3,5.1,6.6,8.3,36.9,0.6,0.6,0.7,0.7
Seongnae1,1,0.7,0.4,2.5,5.2,2.3,2.6,4,1,2.4,0.7,0.5,0.8,2.8,0.2,32.3,23,17.1,0.5
Seongnae2,0.6,1.1,0.8,6.5,4.5,3.3,2.9,3.9,0.3,4.6,0.3,0.8,1,2,1,24.7,23.9,15.5,2.3
Seongnae3,0.8,0.8,0.9,4.1,5.7,3.5,5.3,5.7,0.5,5.7,0.7,1.3,0.9,1.4,0.9,25.5,13.5,22.1,0.7
