[step],Scenario,AC,District,Type,Value
8763,BAU,AC100,Dobong,danger,2.84234613994942
8763,BAU,AC150,Dobong,danger,2.81223654100927
8763,BAU,AC200,Dobong,danger,2.72190774418885
8763,BAU,AC100,Dobong,danger,3.05913525231844
8763,BAU,AC150,Dobong,danger,3.02300373359027
8763,BAU,AC200,Dobong,danger,2.90858725761773
8763,BAU,AC100,Dobong,danger,2.87847765867759
8763,BAU,AC150,Dobong,danger,2.85438997952547
8763,BAU,AC200,Dobong,danger,2.7761050222811
8763,BAU,AC100,Dobong,danger,3.04106949295435
8763,BAU,AC150,Dobong,danger,2.99289413465013
8763,BAU,AC200,Dobong,danger,2.90858725761773
8763,BAU,AC100,Dobong,danger,3.15548596892689
8763,BAU,AC150,Dobong,danger,3.12537636998675
8763,BAU,AC200,Dobong,danger,2.99289413465013
8763,BAU,AC100,Dobong,danger,3.0290256533783
8763,BAU,AC150,Dobong,danger,3.01698181380224
8763,BAU,AC200,Dobong,danger,2.9025653378297
8763,BAU,AC100,Dobong,danger,2.91460917740576
8763,BAU,AC150,Dobong,danger,2.88449957846561
8763,BAU,AC200,Dobong,danger,2.77008310249307
8763,BAU,AC100,Dobong,danger,2.9025653378297
8763,BAU,AC150,Dobong,danger,2.84836805973744
8763,BAU,AC200,Dobong,danger,2.75201734312899
8763,BAU,AC100,Dobong,danger,2.89052149825364
8763,BAU,AC150,Dobong,danger,2.8604118993135
8763,BAU,AC200,Dobong,danger,2.75803926291702
8763,BAU,AC100,Dobong,danger,3.03504757316633
8763,BAU,AC150,Dobong,danger,2.9868722148621
8763,BAU,AC200,Dobong,danger,2.91460917740576
8763,BAU,AC100,Dobong,danger,2.87847765867759
8763,BAU,AC150,Dobong,danger,2.86643381910153
8763,BAU,AC200,Dobong,danger,2.78814886185716
8763,BAU,AC100,Dobong,danger,2.96880645549801
8763,BAU,AC150,Dobong,danger,2.91460917740576
8763,BAU,AC200,Dobong,danger,2.84234613994942
8763,BAU,AC100,Dobong,danger,2.83632422016139
8763,BAU,AC150,Dobong,danger,2.7761050222811
8763,BAU,AC200,Dobong,danger,2.71588582440082
8763,BAU,AC100,Dobong,danger,2.8182584607973
8763,BAU,AC150,Dobong,danger,2.80019270143322
8763,BAU,AC200,Dobong,danger,2.70986390461279
8763,BAU,AC100,Dobong,danger,2.92665301698181
8763,BAU,AC150,Dobong,danger,2.89654341804167
8763,BAU,AC200,Dobong,danger,2.80019270143322
8763,BAU,AC100,Dobong,danger,2.86643381910153
8763,BAU,AC150,Dobong,danger,2.84234613994942
8763,BAU,AC200,Dobong,danger,2.76406118270505
8763,BAU,AC100,Dobong,danger,2.89052149825364
8763,BAU,AC150,Dobong,danger,2.84836805973744
8763,BAU,AC200,Dobong,danger,2.78212694206913
8763,BAU,AC100,Dobong,danger,2.7761050222811
8763,BAU,AC150,Dobong,danger,2.73997350355293
8763,BAU,AC200,Dobong,danger,2.67373238588462
8763,BAU,AC100,Dobong,danger,2.86643381910153
8763,BAU,AC150,Dobong,danger,2.8604118993135
8763,BAU,AC200,Dobong,danger,2.77008310249307
8763,BAU,AC100,Dobong,danger,2.87245573888956
8763,BAU,AC150,Dobong,danger,2.84836805973744
8763,BAU,AC200,Dobong,danger,2.75201734312899
8763,DEC,AC100,Dobong,danger,2.69782006503673
8763,DEC,AC150,Dobong,danger,2.17391304347826
8763,DEC,AC200,Dobong,danger,1.62591834276767
8763,DEC,AC100,Dobong,danger,2.57738166927617
8763,DEC,AC150,Dobong,danger,2.10165000602192
8763,DEC,AC200,Dobong,danger,1.69215946043599
8763,DEC,AC100,Dobong,danger,2.80019270143322
8763,DEC,AC150,Dobong,danger,2.26424184029869
8763,DEC,AC200,Dobong,danger,1.79453209683247
8763,DEC,AC100,Dobong,danger,2.67975430567265
8763,DEC,AC150,Dobong,danger,2.17993496326629
8763,DEC,AC200,Dobong,danger,1.70420330001204
8763,DEC,AC100,Dobong,danger,2.52920631097194
8763,DEC,AC150,Dobong,danger,2.06551848729375
8763,DEC,AC200,Dobong,danger,1.61989642297965
8763,DEC,AC100,Dobong,danger,2.70384198482476
8763,DEC,AC150,Dobong,danger,2.18595688305432
8763,DEC,AC200,Dobong,danger,1.60183066361556
8763,DEC,AC100,Dobong,danger,2.4990967120318
8763,DEC,AC150,Dobong,danger,1.96916777068529
8763,DEC,AC200,Dobong,danger,1.58376490425148
8763,DEC,AC100,Dobong,danger,2.62555702758039
8763,DEC,AC150,Dobong,danger,2.19197880284235
8763,DEC,AC200,Dobong,danger,1.78248825725641
8763,DEC,AC100,Dobong,danger,2.72190774418885
8763,DEC,AC150,Dobong,danger,2.23413224135854
8763,DEC,AC200,Dobong,danger,1.70420330001204
8763,DEC,AC100,Dobong,danger,2.70986390461279
8763,DEC,AC150,Dobong,danger,2.31241719860291
8763,DEC,AC200,Dobong,danger,1.81259785619656
8763,DEC,AC100,Dobong,danger,2.70384198482476
8763,DEC,AC150,Dobong,danger,2.21004456220643
8763,DEC,AC200,Dobong,danger,1.75237865831627
8763,DEC,AC100,Dobong,danger,2.6917981452487
8763,DEC,AC150,Dobong,danger,2.28230759966277
8763,DEC,AC200,Dobong,danger,1.72226905937613
8763,DEC,AC100,Dobong,danger,2.66168854630856
8763,DEC,AC150,Dobong,danger,2.21606648199446
8763,DEC,AC200,Dobong,danger,1.72226905937613
8763,DEC,AC100,Dobong,danger,2.78212694206913
8763,DEC,AC150,Dobong,danger,2.31843911839094
8763,DEC,AC200,Dobong,danger,1.7584005781043
8763,DEC,AC100,Dobong,danger,2.61953510779236
8763,DEC,AC150,Dobong,danger,2.22811032157052
8763,DEC,AC200,Dobong,danger,1.70420330001204
8763,DEC,AC100,Dobong,danger,2.68577622546068
8763,DEC,AC150,Dobong,danger,2.2461760809346
8763,DEC,AC200,Dobong,danger,1.77646633746838
8763,DEC,AC100,Dobong,danger,2.75201734312899
8763,DEC,AC150,Dobong,danger,2.28230759966277
8763,DEC,AC200,Dobong,danger,1.72226905937613
8763,DEC,AC100,Dobong,danger,2.79417078164519
8763,DEC,AC150,Dobong,danger,2.31843911839094
8763,DEC,AC200,Dobong,danger,1.78851017704444
8763,DEC,AC100,Dobong,danger,2.72792966397688
8763,DEC,AC150,Dobong,danger,2.27628567987474
8763,DEC,AC200,Dobong,danger,1.86077321450078
8763,DEC,AC100,Dobong,danger,2.63760086715645
8763,DEC,AC150,Dobong,danger,2.21004456220643
8763,DEC,AC200,Dobong,danger,1.72829097916416
8763,DEC,AC100,Dobong,danger,2.69782006503673
8763,DEC,AC150,Dobong,danger,2.21004456220643
8763,DEC,AC200,Dobong,danger,1.66807178128387
8763,INC,AC100,Dobong,danger,23.5396844514031
8763,INC,AC150,Dobong,danger,22.9495363121763
8763,INC,AC200,Dobong,danger,22.4135854510418
8763,INC,AC100,Dobong,danger,24.2502709863905
8763,INC,AC150,Dobong,danger,23.7082982054679
8763,INC,AC200,Dobong,danger,23.0037335902686
8763,INC,AC100,Dobong,danger,24.4429724196074
8763,INC,AC150,Dobong,danger,23.8287366012285
8763,INC,AC200,Dobong,danger,23.2205227026376
8763,INC,AC100,Dobong,danger,23.943153077201
8763,INC,AC150,Dobong,danger,23.4132241358545
8763,INC,AC200,Dobong,danger,22.6123088040467
8763,INC,AC100,Dobong,danger,24.2141394676623
8763,INC,AC150,Dobong,danger,23.5878598097073
8763,INC,AC200,Dobong,danger,22.9254486330242
8763,INC,AC100,Dobong,danger,23.7926050825003
8763,INC,AC150,Dobong,danger,23.1964350234855
8763,INC,AC200,Dobong,danger,22.461760809346
8763,INC,AC100,Dobong,danger,24.1238106708419
8763,INC,AC150,Dobong,danger,23.6059255690714
8763,INC,AC200,Dobong,danger,22.9374924726003
8763,INC,AC100,Dobong,danger,24.3285559436348
8763,INC,AC150,Dobong,danger,23.7624954835602
8763,INC,AC200,Dobong,danger,23.0097555100566
8763,INC,AC100,Dobong,danger,24.2020956280862
8763,INC,AC150,Dobong,danger,23.7926050825003
8763,INC,AC200,Dobong,danger,23.100084306877
8763,INC,AC100,Dobong,danger,24.15994218957
8763,INC,AC150,Dobong,danger,23.6721666867397
8763,INC,AC200,Dobong,danger,22.9194267132362
8763,INC,AC100,Dobong,danger,24.0395037938095
8763,INC,AC150,Dobong,danger,23.5035529326749
8763,INC,AC200,Dobong,danger,22.8050102372636
8763,INC,AC100,Dobong,danger,24.1238106708419
8763,INC,AC150,Dobong,danger,23.5577502107672
8763,INC,AC200,Dobong,danger,22.8712513549319
8763,INC,AC100,Dobong,danger,24.153920269782
8763,INC,AC150,Dobong,danger,23.6179694086475
8763,INC,AC200,Dobong,danger,22.9615801517524
8763,INC,AC100,Dobong,danger,23.8708900397447
8763,INC,AC150,Dobong,danger,23.4011802962785
8763,INC,AC200,Dobong,danger,22.6966156810791
8763,INC,AC100,Dobong,danger,23.9732626761412
8763,INC,AC150,Dobong,danger,23.3289172588221
8763,INC,AC200,Dobong,danger,22.7628567987474
8763,INC,AC100,Dobong,danger,24.0093941948693
8763,INC,AC150,Dobong,danger,23.4794652535228
8763,INC,AC200,Dobong,danger,22.8411417559918
8763,INC,AC100,Dobong,danger,23.7745393231362
8763,INC,AC150,Dobong,danger,23.2686980609418
8763,INC,AC200,Dobong,danger,22.5280019270143
8763,INC,AC100,Dobong,danger,23.8588462001686
8763,INC,AC150,Dobong,danger,23.2024569432735
8763,INC,AC200,Dobong,danger,22.5942430446826
8763,INC,AC100,Dobong,danger,23.8949777188968
8763,INC,AC150,Dobong,danger,23.4192460556425
8763,INC,AC200,Dobong,danger,22.5581115259545
8763,INC,AC100,Dobong,danger,23.8227146814404
8763,INC,AC150,Dobong,danger,23.1061062266651
8763,INC,AC200,Dobong,danger,22.4196073708298
8763,INC,AC100,Dobong,danger,24.4249066602433
8763,INC,AC150,Dobong,danger,23.8829338793207
8763,INC,AC200,Dobong,danger,23.1482596651813
8763,BAU,AC100,Dobong,age15,1.79666958808063
8763,BAU,AC150,Dobong,age15,1.57756354075372
8763,BAU,AC200,Dobong,age15,1.53374233128834
8763,BAU,AC100,Dobong,age15,3.02366345311131
8763,BAU,AC150,Dobong,age15,2.8045574057844
8763,BAU,AC200,Dobong,age15,2.8045574057844
8763,BAU,AC100,Dobong,age15,2.23488168273444
8763,BAU,AC150,Dobong,age15,2.05959684487292
8763,BAU,AC200,Dobong,age15,2.05959684487292
8763,BAU,AC100,Dobong,age15,1.84049079754601
8763,BAU,AC150,Dobong,age15,1.53374233128834
8763,BAU,AC200,Dobong,age15,1.53374233128834
8763,BAU,AC100,Dobong,age15,2.8045574057844
8763,BAU,AC150,Dobong,age15,2.58545135845749
8763,BAU,AC200,Dobong,age15,2.54163014899211
8763,BAU,AC100,Dobong,age15,2.36634531113059
