no,date,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,2010-01-01,pm10,home,28,28,30,29,28,30,31,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32,42,43,40,37
2,2010-01-01,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,32,37,37,39,28,24,24,32,39,39,29,-999,-999,-999,-999,-999
3,2010-01-02,pm10,home,43,37,34,43,35,35,34,36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,89,79,75,68,58
4,2010-01-02,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,37,41,40,43,32,34,46,50,62,64,72,-999,-999,-999,-999,-999
5,2010-01-03,pm10,home,54,63,57,53,46,48,47,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,56,59,60,62,56
6,2010-01-03,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,40,46,53,45,47,43,44,53,57,51,52,-999,-999,-999,-999,-999
7,2010-01-04,pm10,home,58,56,51,48,40,64,51,42,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26,52,70,51,42
8,2010-01-04,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,27,25,28,30,29,31,37,37,23,16,17,-999,-999,-999,-999,-999
9,2010-01-05,pm10,home,41,51,58,59,58,61,60,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,39,38,46,39,40
10,2010-01-05,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,61,58,51,48,51,44,52,52,48,44,44,-999,-999,-999,-999,-999
11,2010-01-06,pm10,home,30,38,33,31,36,34,38,42,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,36,42,48,48,53
12,2010-01-06,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,48,50,42,38,40,30,30,31,31,32,34,-999,-999,-999,-999,-999
13,2010-01-07,pm10,home,44,49,48,42,53,50,58,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,74,84,93,89,83
14,2010-01-07,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,56,75,55,73,58,54,73,83,78,84,75,-999,-999,-999,-999,-999
15,2010-01-08,pm10,home,85,88,77,82,95,86,81,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,64,77,68,74,76
16,2010-01-08,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,115,110,95,88,103,103,97,59,57,62,64,-999,-999,-999,-999,-999
17,2010-01-09,pm10,home,85,86,85,80,86,82,82,81,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,62,73,92,89,79
18,2010-01-09,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,107,108,110,90,78,80,77,76,75,59,60,-999,-999,-999,-999,-999
19,2010-01-10,pm10,home,73,74,68,76,72,73,65,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,70,71,75,68,72
20,2010-01-10,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,48,50,74,54,44,41,47,52,74,81,70,-999,-999,-999,-999,-999
21,2010-01-11,pm10,home,76,74,79,70,69,65,73,72,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,84,85,79,68,56
22,2010-01-11,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,78,83,104,113,112,77,72,68,56,62,69,-999,-999,-999,-999,-999
23,2010-01-12,pm10,home,43,35,35,37,41,40,34,38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,29,31,38,33,30
24,2010-01-12,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,38,37,35,31,20,23,24,28,31,28,25,-999,-999,-999,-999,-999
25,2010-01-13,pm10,home,29,26,30,30,29,39,37,43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,39,37,38,40
26,2010-01-13,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,42,36,40,29,30,25,23,23,24,38,33,-999,-999,-999,-999,-999
27,2010-01-14,pm10,home,38,37,40,42,46,46,49,57,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,55,60,57,56,57
28,2010-01-14,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,55,64,66,37,26,30,28,44,44,44,43,-999,-999,-999,-999,-999
29,2010-01-15,pm10,home,53,48,42,40,39,39,36,36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,66,66,64,65,65
30,2010-01-15,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,53,43,43,50,52,55,66,66,79,76,75,-999,-999,-999,-999,-999
31,2010-01-16,pm10,home,58,64,63,62,64,67,67,67,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,47,56,56,55,51
32,2010-01-16,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,72,72,80,102,101,86,58,58,56,52,48,-999,-999,-999,-999,-999
33,2010-01-17,pm10,home,55,53,55,62,59,57,59,59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,58,58,56,64
34,2010-01-17,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,57,56,73,73,71,83,47,48,43,51,51,-999,-999,-999,-999,-999
35,2010-01-18,pm10,home,70,61,57,58,53,56,59,63,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,65,75,91,80,81
36,2010-01-18,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,69,77,78,72,88,80,75,69,71,70,67,-999,-999,-999,-999,-999
37,2010-01-19,pm10,home,74,74,83,91,88,91,81,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,80,93,106,100,66
38,2010-01-19,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,95,97,80,75,76,73,79,91,83,84,77,-999,-999,-999,-999,-999
39,2010-01-20,pm10,home,67,65,58,60,55,51,36,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,73,34,39,44,46
40,2010-01-20,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,42,48,57,55,68,85,88,72,58,60,97,-999,-999,-999,-999,-999
