no,date,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,2010-01-01,pm10,home,26,32,25,32,31,30,31,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33,40,42,36,35
2,2010-01-01,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,37,35,38,37,28,34,32,30,39,33,34,-999,-999,-999,-999,-999
3,2010-01-02,pm10,home,37,33,35,37,30,32,32,29,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,63,64,59,58,55
4,2010-01-02,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,30,33,34,29,28,26,31,45,55,57,70,-999,-999,-999,-999,-999
5,2010-01-03,pm10,home,54,50,58,39,42,42,43,39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,53,42,52,53,56
6,2010-01-03,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,39,45,52,45,40,43,39,44,41,54,47,-999,-999,-999,-999,-999
7,2010-01-04,pm10,home,49,50,43,52,44,47,34,27,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,53,59,43,32
8,2010-01-04,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,21,21,29,26,23,26,26,29,15,15,19,-999,-999,-999,-999,-999
9,2010-01-05,pm10,home,39,48,52,58,56,56,55,57,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,35,32,27,26
10,2010-01-05,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,56,50,46,34.54545455,36.27272727,37,46,40,45,40,39,-999,-999,-999,-999,-999
11,2010-01-06,pm10,home,26,25,23,29,34,37,40,38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,29,25,33,31,36
12,2010-01-06,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,45,56,49,33,26,32,29,30,27,32,28,-999,-999,-999,-999,-999
13,2010-01-07,pm10,home,36,30,38,55,55,50,68,78,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,66,70,78,71,70
14,2010-01-07,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,82,100,95,57,44,66,81,82,73,66,58,-999,-999,-999,-999,-999
