no,date,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,2010-01-01,pm10,home,23,38,37,37,20,27,21,29,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,34,39,38,26,24
2,2010-01-01,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,36,29,16,24,13,42,42,51,30,55,38,-999,-999,-999,-999,-999
3,2010-01-02,pm10,home,17,21,30,28,37,40,43,37,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,80,72,74,70,77
4,2010-01-02,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,42,47,45,37,43,53,60,61,78,84,91,-999,-999,-999,-999,-999
5,2010-01-03,pm10,home,64,64,54,61,53,55,43,34,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,56,64,55,71.4,40
6,2010-01-03,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,29,22,40,32,37,48,28,34,39,48,44,-999,-999,-999,-999,-999
7,2010-01-04,pm10,home,80.26666667,45,41,36,54,35,54,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,44,28,52,49,64
8,2010-01-04,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,18,29,34,52,27,17,21,13,33,34,46,-999,-999,-999,-999,-999
9,2010-01-05,pm10,home,52,52,61,73,60,74,62,77,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,38,39,45,39,42
10,2010-01-05,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,71,77,42.8,54,51.86666667,47.53333333,45.33333333,53.57142857,46.14285714,44,50,-999,-999,-999,-999,-999
11,2010-01-06,pm10,home,32,34,49,39,23,38,28,28,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,44,39,39,30,34
12,2010-01-06,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,24,42,50,51,42,44,44,39,32,41,39,-999,-999,-999,-999,-999
13,2010-01-07,pm10,home,47,66,37,47,39,24,40,33,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46,66,71,58,60
14,2010-01-07,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,41,48,38,26,66.33333333,58.53333333,56.85714286,65,62,56,68,-999,-999,-999,-999,-999
15,2010-01-08,pm10,home,72,60,59,74,52,75,73,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,63,49,58,42,68
16,2010-01-08,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,79,121,105,101,90,75,69,61,53,60,53,-999,-999,-999,-999,-999
17,2010-01-09,pm10,home,59,46,76,69,64,87,78,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,88,63,88,86,82
18,2010-01-09,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,93,73,69,61,68,49,71,74,70,65,84,-999,-999,-999,-999,-999
19,2010-01-10,pm10,home,68,66,80,88,53.91304348,86,51,51,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,89,72,80,77,74
20,2010-01-10,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,30,43,51,57,46,60,71,81,70,69,83,-999,-999,-999,-999,-999
21,2010-01-11,pm10,home,80,65,65,85,79,72,77,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,72,80,70,59,61
22,2010-01-11,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,84,93,116,114,70,87,97,86,68,93,90,-999,-999,-999,-999,-999
23,2010-01-12,pm10,home,46,25,33,42,46,48,55,47,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46,38,30,34,35
24,2010-01-12,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,48,34,20,24,24,25,23,31,25,39,31,-999,-999,-999,-999,-999
25,2010-01-13,pm10,home,23,35,32,41,38,35,49,58,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,29,49,42,45,47
26,2010-01-13,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,55,45,47,41,33,19,26,18,15,27,51,-999,-999,-999,-999,-999
27,2010-01-14,pm10,home,38,23,17,34,35,27,44,51,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,55,58,47,46,35
28,2010-01-14,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,38,62,66,69,58,52,41,60,66,34,64,-999,-999,-999,-999,-999
29,2010-01-15,pm10,home,36,40,32,35,25,31,44,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,58,56,78,78,62
30,2010-01-15,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,44,30,65,76,78,77,69,68,73,68,68,-999,-999,-999,-999,-999
