no,date,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,2010-01-01,pm10,home,31,24,27,23,32,30,31,24,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,44,42,38,36,37
2,2010-01-01,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,24,25,25,28,29,31,34,37,35,42,44,-999,-999,-999,-999,-999
3,2010-01-02,pm10,home,42,40,46,46,43,42,49,43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,83,70,70,72,63
4,2010-01-02,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,47,48,48,50,51,51,58,61,80,87,88,-999,-999,-999,-999,-999
5,2010-01-03,pm10,home,55,60,58,56,52,47,39,48,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40,44,43,46,53
6,2010-01-03,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,40,39,40,39,40,41,41,34,33,34,42,-999,-999,-999,-999,-999
7,2010-01-04,pm10,home,46,46,44,37,43,39,41,42,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,53,38,38,48
8,2010-01-04,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,34,32,31,31,35,35,39,45,27,28,31,-999,-999,-999,-999,-999
9,2010-01-05,pm10,home,47,48,49,55,51,59,56,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,37,41,30,38,26
10,2010-01-05,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,54,68,53,50,47,49,42,48,55,37,40,-999,-999,-999,-999,-999
11,2010-01-06,pm10,home,31,27,29,26,30,30,35,42,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,34,38,34,38,39
12,2010-01-06,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,39,31,39,37,40,37,37,35,34,35,33,-999,-999,-999,-999,-999
13,2010-01-07,pm10,home,40,39,28,38,42,46,47,56,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46,51,54,55,58
14,2010-01-07,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,58,71,85,71,65,45,43.2,38,48,64,60,-999,-999,-999,-999,-999
15,2010-01-08,pm10,home,60,66,69,76,78,81,86,92,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,70,87,88,74,65
16,2010-01-08,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,83,99,107,112,104,81,67,45,52,45,59,-999,-999,-999,-999,-999
17,2010-01-09,pm10,home,57,63,64,71,73,77,88,89,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,86,87,86,94,93
18,2010-01-09,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,89,95,102,93,87,85,63,61,45,60,79,-999,-999,-999,-999,-999
19,2010-01-10,pm10,home,90,95,89,86,59,57,48,58,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,87,77,77,80,77
20,2010-01-10,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,59,55,45,38,41,52,61,85,113,108,91,-999,-999,-999,-999,-999
21,2010-01-11,pm10,home,77,74,74,78,73,74,68,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,81,87,73,60,48
22,2010-01-11,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,56,61,64,69,57,54,64,68,59,54,75,-999,-999,-999,-999,-999
23,2010-01-12,pm10,home,49,36,36,37,42,35,39,31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24,33,25,26,24
24,2010-01-12,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,26,24,25,18,26,24,24,30,25,23,28,-999,-999,-999,-999,-999
25,2010-01-13,pm10,home,26,19,26,27,32,27,34,34,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,36,29,30,33,37
26,2010-01-13,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,38,36,37,42,35,32,27,32,40,30,34,-999,-999,-999,-999,-999
27,2010-01-14,pm10,home,29,29,34,33,44,39,37,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,56,48,53,54,54
28,2010-01-14,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,34,35,58.91304348,38,30,39,41,49,47,47,54,-999,-999,-999,-999,-999
29,2010-01-15,pm10,home,49,52,52,52,55,48,52,51,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,60,66,63,60,52
30,2010-01-15,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,60,60,67,72,68,57,67,62,65,51,53,-999,-999,-999,-999,-999
31,2010-01-16,pm10,home,65,63,66,65,66,68,67,62,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,35,25,37,40,43
32,2010-01-16,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,77,73,61,59,50,34,37,39,49,48,39,-999,-999,-999,-999,-999
33,2010-01-17,pm10,home,47,43,44,48,45,47,52,57,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,53,50,54,66,64
