no,date,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,2010-01-01,pm10,home,29,26,29,32,34,30,32,29,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33,40,40,39,37
2,2010-01-01,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,31,30,27,34,34,26,31,33,35,33,33,-999,-999,-999,-999,-999
3,2010-01-02,pm10,home,38,37,40,42,35,37,39,37,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,95,93,80,70,67
4,2010-01-02,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,45,35,42,44,43,49,52,53,58,80,97,-999,-999,-999,-999,-999
5,2010-01-03,pm10,home,61,58,59,59,54,51,47,44,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46,61,61,60,60
6,2010-01-03,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,47,39,34,45,44,37,35,43,57,40,44,-999,-999,-999,-999,-999
7,2010-01-04,pm10,home,55,63,52,52,43,39,28,33,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,41,62,55,39,43
8,2010-01-04,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,24,21,23,30,23,22,35,37,20,20,24,-999,-999,-999,-999,-999
9,2010-01-05,pm10,home,53,48,56,59,62,63,61,61,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,37,41,41,33,31
10,2010-01-05,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,62,64,60,52,45,48,67,63,46,38,32,-999,-999,-999,-999,-999
11,2010-01-06,pm10,home,28,30,33,28,33,29,38,38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,28,25,42,40,42
12,2010-01-06,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,41,38,35,37,39,33,28,36,40,32,25,-999,-999,-999,-999,-999
13,2010-01-07,pm10,home,40,39,37,38,45,45,51,63,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,51,66,69,67,68
14,2010-01-07,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,64,71,74,82,66,62,53,59,72,63,48,-999,-999,-999,-999,-999
15,2010-01-08,pm10,home,69,72,90,88,85,83,88,87,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,59,80,84,77,73
16,2010-01-08,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,76,101,109,113,93,87,56,49,68,55,48,-999,-999,-999,-999,-999
17,2010-01-09,pm10,home,70,74,91,89,87,87,84,77,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,81,94,96,91,90
18,2010-01-09,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,95,96,98,92,92,97,96,66,37,66,79,-999,-999,-999,-999,-999
19,2010-01-10,pm10,home,92,90,89,73,56,49,57,67,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,70,65,90,71,69
20,2010-01-10,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,66,62,44,58,42,39,48,61,95,86,76,-999,-999,-999,-999,-999
21,2010-01-11,pm10,home,62,60,63,74,69,79,77,81,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,88,96,98,75,56
22,2010-01-11,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,75,96,109,89,67,67,65,76,64,52,66,-999,-999,-999,-999,-999
23,2010-01-12,pm10,home,45,42,39,40,43,41,46,37,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32,28,34,34,29
24,2010-01-12,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,39,39,23,30,68.95652174,70.17391304,39,31,35,32,26,-999,-999,-999,-999,-999
25,2010-01-13,pm10,home,29,25,34,25,35,35,39,39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,35,37,40,41,36
26,2010-01-13,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,53,49,45,47,46,35,33,35,44,43,27,-999,-999,-999,-999,-999
27,2010-01-14,pm10,home,36,40,38,37,43,44,38,48,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,51,46,53,60,57
28,2010-01-14,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,48,46,50,51,57,59,53,48,49,46,58,-999,-999,-999,-999,-999
29,2010-01-15,pm10,home,53,54,47,43,37,41,40,46,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,68,71,73,67,66
