no,date,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,2010-01-01,pm10,home,22,27,25,28,28,28,27,26,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33,28,33,36,31
2,2010-01-01,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,39,27,28,39,25,26,25,30,37,34,38,-999,-999,-999,-999,-999
3,2010-01-02,pm10,home,37,38,39,37,33,38,36,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,63,51,55,42,50
4,2010-01-02,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,41,41,45,42,43,39,45,68,80,66,69,-999,-999,-999,-999,-999
5,2010-01-03,pm10,home,43,48,51,44,40,39,46,43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,44,44,43,48,43
6,2010-01-03,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,43,41,40,43,44,46,44,50,46,52,44,-999,-999,-999,-999,-999
7,2010-01-04,pm10,home,47,42,47,44,42,45,38,38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26,34,45,39,35
8,2010-01-04,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,31,36,33,40,47,42,36,28,25,16,24,-999,-999,-999,-999,-999
9,2010-01-05,pm10,home,33,38,45,48,51,46,52,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40,33,40,39,32
10,2010-01-05,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,50,42,40,41,43,35,38,37,40,43,38,-999,-999,-999,-999,-999
11,2010-01-06,pm10,home,36,34,32,33,34,37,46,63,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,37,41,51,48,42
12,2010-01-06,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,77,66,46,35,32,38.93333333,37.73333333,40,31,40,37,-999,-999,-999,-999,-999
13,2010-01-07,pm10,home,36,43,53,62,69,87,89,99,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,69,69,70,66,71
14,2010-01-07,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,103,114,123,102,73,51,53,55,62,72,74,-999,-999,-999,-999,-999
15,2010-01-08,pm10,home,73,82,85,92,95,97,113,109,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,65,70,69,62,64
16,2010-01-08,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,119,128,132,82,82,89,86,93,80,69,57,-999,-999,-999,-999,-999
17,2010-01-09,pm10,home,66,73,79,80,82,84,79,95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,53,60,63,65,63
18,2010-01-09,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,107,115,113,98,94,66,71,73,65,55,59,-999,-999,-999,-999,-999
