no,Type,DATE,Value,inc10,inc20,inc10sub,inc20sub
1,pm10,2010-03-31,55.25686033,60.78254636,66.30823239,5.53,11.05
2,pm10,2010-06-30,49.53282739,54.48611013,59.43939287,4.95,9.91
3,pm10,2010-09-30,26.8601081,29.54611891,32.23212972,2.69,5.37
4,pm10,2010-12-31,57.8933191,63.68265101,69.47198292,5.79,11.58
5,pm10,2011-03-31,62.26302469,68.48932716,74.71562963,6.23,12.45
6,pm10,2011-06-30,57.35115732,63.08627305,68.82138878,5.74,11.47
7,pm10,2011-09-30,27.49101751,30.24011926,32.98922101,2.75,5.5
8,pm10,2011-12-31,44.458966,48.9048626,53.3507592,4.45,8.89
9,pm10,2012-03-31,53.92713688,59.31985057,64.71256426,5.39,10.79
10,pm10,2012-06-30,47.61921019,52.38113121,57.14305223,4.76,9.52
11,pm10,2012-09-30,24.79096678,27.27006346,29.74916014,2.48,4.96
12,pm10,2012-12-31,38.69072793,42.55980072,46.42887352,3.87,7.74
13,pm10,2013-03-31,56.76305641,62.43936205,68.11566769,5.68,11.35
14,pm10,2013-06-30,50.66783413,55.73461755,60.80140096,5.07,10.13
15,pm10,2013-09-30,32.50419894,35.75461884,39.00503873,3.25,6.5
16,pm10,2013-12-31,45.16471387,49.68118525,54.19765664,4.52,9.03
17,pm10,2014-03-31,63.57015226,69.92716748,76.28418271,6.36,12.71
18,pm10,2014-06-30,57.62826934,63.39109627,69.15392321,5.76,11.53
19,pm10,2014-09-30,34.08814294,37.49695724,40.90577153,3.41,6.82
20,pm10,2014-12-31,44.10084353,48.51092788,52.92101224,4.41,8.82
21,pm10,2015-03-31,69.47760288,76.42536317,83.37312346,6.95,13.9
22,pm10,2015-06-30,42.00726837,46.20799521,50.40872204,4.2,8.4
23,pm10,2015-09-30,28.92379979,31.81617977,34.70855975,2.89,5.78
24,pm10,2015-12-31,40.79604851,44.87565336,48.95525821,4.08,8.16
