no,Type,DATE,Value,INC,DEC,incsub,decsub
1,pm10,2010-03-31,57.34820446,57.34820446,57.34820446,0,0
2,pm10,2010-06-30,51.26446886,52.80240293,49.77132899,1.537934066,-1.49313987
3,pm10,2010-09-30,28.84155214,30.59800267,27.18592906,1.756450525,-1.65562308
4,pm10,2010-12-31,60.30240036,65.89406104,55.18523873,5.591660678,-5.117161632
5,pm10,2011-03-31,64.9568232,73.10947678,57.71329609,8.152653581,-7.243527113
6,pm10,2011-06-30,59.00200056,68.39948958,50.89564398,9.397489021,-8.106356581
7,pm10,2011-09-30,28.06685606,33.51329393,23.50555008,5.446437875,-4.561305975
8,pm10,2011-12-31,42.33096908,52.06175257,34.41895163,9.73078349,-7.912017454
9,pm10,2012-03-31,52.08046875,65.97397964,41.11280296,13.89351089,-10.96766579
10,pm10,2012-06-30,48.24670439,62.9510061,36.97708152,14.70430171,-11.26962287
11,pm10,2012-09-30,26.05523853,35.01606183,19.38754444,8.960823298,-6.667694089
12,pm10,2012-12-31,41.46188653,57.39294768,29.952949,15.93106115,-11.50893753
13,pm10,2013-03-31,59.72069067,85.14742489,41.88689087,25.42673422,-17.8337998
14,pm10,2013-06-30,48.45884534,71.1634481,32.99811567,22.70460276,-15.46072967
15,pm10,2013-09-30,31.89131268,48.23847187,21.08391466,16.34715919,-10.80739802
16,pm10,2013-12-31,41.26986715,64.29710831,26.4895573,23.02724116,-14.78030985
17,pm10,2014-03-31,59.96345679,96.22374522,37.36724383,36.26028843,-22.59621296
18,pm10,2014-06-30,55.82327534,92.26736847,33.77399964,36.44409313,-22.0492757
19,pm10,2014-09-30,32.51014493,55.34634555,19.09628382,22.83620062,-13.41386111
20,pm10,2014-12-31,41.2937955,72.40892036,23.54927457,31.11512486,-17.74452093
21,pm10,2015-03-31,69.2640948,125.0986598,38.34984993,55.83456498,-30.91424487
22,pm10,2015-06-30,41.99544885,78.12390553,22.57462312,36.12845668,-19.42082573
23,pm10,2015-09-30,29.19513678,55.94090111,15.23672295,26.74576433,-13.95841383
24,pm10,2015-12-31,40.8143845,80.55071871,20.68031184,39.73633421,-20.13407266
