no,Type,DATE,Value,INC,DEC,incsub,decsub
1,pm10,2010-03-31,54.70068743,54.70068743,54.70068743,0,0
2,pm10,2010-06-30,42.94103738,44.2292685,41.69032755,1.288231121,-1.250709827
3,pm10,2010-09-30,25.5552371,27.11155104,24.08826195,1.556313939,-1.466975153
4,pm10,2010-12-31,52.09320867,56.92365563,47.67266542,4.83044696,-4.420543247
5,pm10,2011-03-31,52.40442901,58.98164653,46.56065643,6.577217524,-5.843772581
6,pm10,2011-06-30,52.1285726,60.43130275,44.96656464,8.302730145,-7.162007958
7,pm10,2011-09-30,25.59942633,30.5670538,21.43911653,4.967627469,-4.160309798
8,pm10,2011-12-31,40.01274155,49.21062512,32.5340205,9.197883566,-7.47872105
9,pm10,2012-03-31,48.5841908,61.54499933,38.35280886,12.96080853,-10.23138194
10,pm10,2012-06-30,43.62014652,56.91439745,33.43121016,13.29425093,-10.18893636
11,pm10,2012-09-30,22.54946054,30.30458937,16.77891637,7.755128825,-5.770544168
12,pm10,2012-12-31,35.83129553,49.5988929,25.88529026,13.76759737,-9.946005271
13,pm10,2013-03-31,49.80634227,71.01193473,34.93316637,21.20559246,-14.8731759
14,pm10,2013-06-30,45.83031681,67.30336533,31.20821564,21.47304852,-14.62210117
15,pm10,2013-09-30,31.61472185,47.82010342,20.90105554,16.20538157,-10.71366631
16,pm10,2013-12-31,38.7798214,60.41769816,24.89129168,21.63787676,-13.88852972
17,pm10,2014-03-31,54.82723765,87.98162129,34.16652187,33.15438364,-20.66071578
18,pm10,2014-06-30,49.43073871,81.70147944,29.90640985,32.27074073,-19.52432886
19,pm10,2014-09-30,29.95475958,50.99597305,17.59526425,21.04121347,-12.35949533
20,pm10,2014-12-31,39.1299474,68.61459962,22.31526223,29.48465222,-16.81468517
21,pm10,2015-03-31,58.0516475,104.8477327,32.14178971,46.79608524,-25.90985779
22,pm10,2015-06-30,43.75412917,81.39556898,23.52000045,37.64143981,-20.23412872
23,pm10,2015-09-30,29.89653507,57.28485276,15.60277746,27.38831769,-14.29375761
24,pm10,2015-12-31,38.49884598,75.98080312,19.50704758,37.48195714,-18.9917984
