no,Type,DATE,Value,INC,DEC,incsub,decsub
1,pm10,2010-03-31,52.99006617,52.99006617,52.99006617,0,0
2,pm10,2010-06-30,50.66606865,52.18605071,49.19035791,1.51998206,-1.475710737
3,pm10,2010-09-30,28.62674514,30.37011392,26.98345286,1.743368779,-1.643292279
4,pm10,2010-12-31,55.5956111,60.75082533,50.87785979,5.15521423,-4.717751305
5,pm10,2011-03-31,60.84857477,68.48560698,54.06317057,7.63703221,-6.785404203
6,pm10,2011-06-30,58.32208147,67.61127701,50.3091398,9.289195537,-8.01294167
7,pm10,2011-09-30,27.24987785,32.53777923,22.8213437,5.287901377,-4.428534154
8,pm10,2011-12-31,40.26990439,49.52690297,32.74311742,9.256998582,-7.526786968
9,pm10,2012-03-31,49.03427893,62.11515751,38.70811259,13.08087858,-10.32616634
10,pm10,2012-06-30,45.92621957,59.92329973,35.19862313,13.99708016,-10.72759644
11,pm10,2012-09-30,24.33078194,32.69853637,18.10438679,8.367754431,-6.226395154
12,pm10,2012-12-31,37.5593871,51.99097579,27.13370038,14.43158869,-10.42568672
13,pm10,2013-03-31,52.15145062,74.35549849,36.57797819,22.20404787,-15.57347243
14,pm10,2013-06-30,49.16512515,72.20064381,33.47905785,23.03551866,-15.6860673
15,pm10,2013-09-30,32.96675021,49.86516763,21.79490556,16.89841742,-11.17184465
16,pm10,2013-12-31,40.72454818,63.44751912,26.1395378,22.72297094,-14.58501038
17,pm10,2014-03-31,57.99716649,93.06842652,36.14191673,35.07126003,-21.85524976
18,pm10,2014-06-30,51.91947497,85.81498127,31.41213622,33.8955063,-20.50733875
19,pm10,2014-09-30,32.68973149,55.65207965,19.201772,22.96234816,-13.48795949
20,pm10,2014-12-31,38.38068006,67.30075481,21.88796554,28.92007475,-16.49271452
21,pm10,2015-03-31,68.84569358,124.3429806,38.11819132,55.49728705,-30.72750226
22,pm10,2015-06-30,39.40337516,73.30188492,21.18125579,33.89850976,-18.22211937
23,pm10,2015-09-30,29.89180577,57.27579093,15.60030927,27.38398516,-14.2914965
24,pm10,2015-12-31,41.5913883,82.08420293,21.07401326,40.49281463,-20.51737504
