no,Type,DATE,Value,INC,DEC,incsub,decsub
1,pm10,2010-03-31,61.62898879,61.62898879,61.62898879,0,0
2,pm10,2010-06-30,54.63995588,56.27915456,53.04850085,1.639198676,-1.591455026
3,pm10,2010-09-30,29.76813104,31.58101022,28.05931854,1.81287918,-1.708812499
4,pm10,2010-12-31,63.47686335,69.36288246,58.09032206,5.886019108,-5.386541293
5,pm10,2011-03-31,67.51931107,75.99357945,59.99003337,8.474268384,-7.5292777
6,pm10,2011-06-30,61.68779997,71.51306721,53.21243814,9.825267236,-8.475361827
7,pm10,2011-09-30,28.89981884,34.50789506,24.2031433,5.608076215,-4.69667554
8,pm10,2011-12-31,45.33434481,55.75552589,36.86097094,10.42118108,-8.473373873
9,pm10,2012-03-31,56.38064562,71.42131504,44.50740229,15.04066942,-11.87324333
10,pm10,2012-06-30,48.29639557,63.01584182,37.01516568,14.71944625,-11.28122989
11,pm10,2012-09-30,24.88355398,33.44141577,18.5157011,8.55786179,-6.367852882
12,pm10,2012-12-31,40.22297291,55.67800148,29.05793144,15.45502857,-11.16504147
13,pm10,2013-03-31,57.97525794,82.65885518,40.66267947,24.68359724,-17.31257847
14,pm10,2013-06-30,51.3662337,75.43304592,34.97790567,24.06681222,-16.38832803
15,pm10,2013-09-30,33.75803504,51.06205693,22.31803805,17.30402189,-11.43999699
16,pm10,2013-12-31,44.69740106,69.63709446,28.68956089,24.9396934,-16.00784017
17,pm10,2014-03-31,60.83666732,97.62499178,37.91139977,36.78832446,-22.92526755
18,pm10,2014-06-30,57.04539072,94.28733898,34.51339955,37.24194826,-22.53199117
19,pm10,2014-09-30,33.78229747,57.5121001,19.84353937,23.72980263,-13.9387581
20,pm10,2014-12-31,42.3709692,74.29775097,24.16357168,31.92678177,-18.20739752
21,pm10,2015-03-31,70.7104784,127.7109894,39.15067746,57.00051105,-31.55980094
22,pm10,2015-06-30,42.40962303,78.89439151,22.79726215,36.48476848,-19.61236088
23,pm10,2015-09-30,30.92103075,59.24789243,16.13745407,28.32686168,-14.78357668
24,pm10,2015-12-31,40.39616053,79.72531752,20.46840121,39.32915699,-19.92775932
