no,Type,DATE,Value,INC,DEC,incsub,decsub
1,pm10,2010-03-31,59.61120928,59.61120928,59.61120928,0,0
2,pm10,2010-06-30,52.61753341,54.19605941,51.08498389,1.578526002,-1.532549517
3,pm10,2010-09-30,29.22129689,31.00087387,27.54387491,1.779576981,-1.677421982
4,pm10,2010-12-31,56.28876522,61.50825355,51.51219401,5.219488333,-4.776571214
5,pm10,2011-03-31,65.02313509,73.1841114,57.77221334,8.160976308,-7.250921748
6,pm10,2011-06-30,59.56416361,69.05119063,51.38057076,9.48702702,-8.183592846
7,pm10,2011-09-30,29.57173913,35.31020302,24.76586596,5.738463891,-4.805873166
8,pm10,2011-12-31,46.99389266,57.79656042,38.21033521,10.80266776,-8.783557453
9,pm10,2012-03-31,58.21658381,73.74702661,45.95670885,15.5304428,-12.25987496
10,pm10,2012-06-30,50.77370645,66.24817062,38.91381819,15.47446417,-11.85988826
11,pm10,2012-09-30,26.16137489,35.15870022,19.46651986,8.997325331,-6.694855029
12,pm10,2012-12-31,40.15715991,55.5869009,29.01038673,15.42974099,-11.14677318
13,pm10,2013-03-31,55.15682099,78.64043801,38.6858845,23.48361702,-16.47093649
14,pm10,2013-06-30,50.19229243,73.70907359,34.17850879,23.51678116,-16.01378364
15,pm10,2013-09-30,32.60842391,49.32316695,21.55800967,16.71474304,-11.05041424
16,pm10,2013-12-31,44.77584616,69.75930937,28.73991181,24.98346321,-16.03593435
17,pm10,2014-03-31,59.16115062,94.93627934,36.86727315,35.77512872,-22.29387747
18,pm10,2014-06-30,53.72512093,88.79943892,32.50458172,35.07431799,-21.22053921
19,pm10,2014-09-30,31.81331343,54.16003657,18.68696876,22.34672314,-13.12634467
20,pm10,2014-12-31,40.77588901,71.5007682,23.25391973,30.72487919,-17.52196928
21,pm10,2015-03-31,65.03709204,117.4642226,36.00946099,52.42713056,-29.02763105
22,pm10,2015-06-30,43.65923743,81.2190424,23.46899147,37.55980497,-20.19024596
23,pm10,2015-09-30,33.68203272,64.53825771,17.57840029,30.85622499,-16.10363243
24,pm10,2015-12-31,48.1728831,95.07335229,24.40880236,46.90046919,-23.76408074
