no,Type,DATE,Value,inc10,inc20,inc10sub,inc20sub
1,pm10,2010-03-31,60.61070895,66.67177984,72.73285074,6.06,12.12
2,pm10,2010-06-30,53.87709917,59.26480909,64.652519,5.39,10.78
3,pm10,2010-09-30,29.36631647,32.30294812,35.23957977,2.94,5.87
4,pm10,2010-12-31,61.39145536,67.5306009,73.66974644,6.14,12.28
5,pm10,2011-03-31,63.29316464,69.62248111,75.95179757,6.33,12.66
6,pm10,2011-06-30,58.65132784,64.51646062,70.38159341,5.87,11.73
7,pm10,2011-09-30,28.69729691,31.5670266,34.43675629,2.87,5.74
8,pm10,2011-12-31,44.6834365,49.15178015,53.6201238,4.47,8.94
9,pm10,2012-03-31,51.61283042,56.77411346,61.9353965,5.16,10.32
10,pm10,2012-06-30,48.09564549,52.90521004,57.71477458,4.81,9.62
11,pm10,2012-09-30,24.74346837,27.21781521,29.69216204,2.47,4.95
12,pm10,2012-12-31,38.30749651,42.13824617,45.96899582,3.83,7.66
13,pm10,2013-03-31,57.68013889,63.44815278,69.21616667,5.77,11.54
14,pm10,2013-06-30,52.98755894,58.28631484,63.58507073,5.3,10.6
15,pm10,2013-09-30,33.68925257,37.05817783,40.42710309,3.37,6.74
16,pm10,2013-12-31,44.06400506,48.47040557,52.87680607,4.41,8.81
17,pm10,2014-03-31,59.01158681,64.91274549,70.81390417,5.9,11.8
18,pm10,2014-06-30,56.62449049,62.28693954,67.94938859,5.66,11.32
19,pm10,2014-09-30,35.29054952,38.81960447,42.34865942,3.53,7.06
20,pm10,2014-12-31,40.96072615,45.05679876,49.15287138,4.1,8.19
21,pm10,2015-03-31,67.00784722,73.70863194,80.40941667,6.7,13.4
22,pm10,2015-06-30,43.67428593,48.04171453,52.40914312,4.37,8.73
23,pm10,2015-09-30,31.19190929,34.31110022,37.43029115,3.12,6.24
24,pm10,2015-12-31,43.25071116,47.57578228,51.90085339,4.33,8.65
