no,Type,DATE,Value,inc10,inc20,inc10sub,inc20sub
1,pm10,2010-03-31,51.47521059,56.62273165,61.77025271,5.15,10.3
2,pm10,2010-06-30,52.62372423,57.88609665,63.14846908,5.26,10.52
3,pm10,2010-09-30,33.67978116,37.04775928,40.4157374,3.37,6.74
4,pm10,2010-12-31,55.62798022,61.19077824,66.75357626,5.56,11.13
5,pm10,2011-03-31,59.05598256,64.96158082,70.86717907,5.91,11.81
6,pm10,2011-06-30,58.32413567,64.15654924,69.9889628,5.83,11.66
7,pm10,2011-09-30,27.5705545,30.32760995,33.08466541,2.76,5.51
8,pm10,2011-12-31,38.85428229,42.73971052,46.62513875,3.89,7.77
9,pm10,2012-03-31,48.03866681,52.84253349,57.64640017,4.8,9.61
10,pm10,2012-06-30,46.92422019,51.6166422,56.30906422,4.69,9.38
11,pm10,2012-09-30,30.10718379,33.11790217,36.12862055,3.01,6.02
12,pm10,2012-12-31,44.71719775,49.18891752,53.6606373,4.47,8.94
13,pm10,2013-03-31,54.03836377,59.44220015,64.84603653,5.4,10.81
14,pm10,2013-06-30,47.01326313,51.71458944,56.41591575,4.7,9.4
15,pm10,2013-09-30,29.40029954,32.34032949,35.28035944,2.94,5.88
16,pm10,2013-12-31,36.0607708,39.66684788,43.27292496,3.61,7.21
17,pm10,2014-03-31,50.49898479,55.54888327,60.59878175,5.05,10.1
18,pm10,2014-06-30,50.60263995,55.66290394,60.72316794,5.06,10.12
19,pm10,2014-09-30,30.3595369,33.39549059,36.43144428,3.04,6.07
20,pm10,2014-12-31,43.62615656,47.98877221,52.35138787,4.36,8.73
21,pm10,2015-03-31,64.74907902,71.22398693,77.69889483,6.47,12.95
22,pm10,2015-06-30,37.2684982,40.99534802,44.72219784,3.73,7.45
23,pm10,2015-09-30,30.856666,33.9423326,37.0279992,3.09,6.17
24,pm10,2015-12-31,41.87560544,46.06316598,50.25072653,4.19,8.38
