no,Type,DATE,Value,inc3per,dec3per,incsub,decsub
1,pm10,2010-03-31,61.40594688,61.40594688,61.40594688,0,0
2,pm10,2010-06-30,54.82065018,56.46526969,53.22393221,1.644619505,-1.596717966
3,pm10,2010-09-30,30.74349325,32.61577199,28.97869097,1.872278739,-1.76480228
4,pm10,2010-12-31,62.94084598,68.77716181,57.59979023,5.836315825,-5.341055749
5,pm10,2011-03-31,65.76345546,74.0173485,58.4299784,8.253893036,-7.333477058
6,pm10,2011-06-30,60.31348077,69.91985459,52.02693833,9.606373817,-8.286542441
7,pm10,2011-09-30,30.89969627,36.89585329,25.87800916,5.996157023,-5.021687108
8,pm10,2011-12-31,44.02269486,54.14236189,35.7944795,10.11966703,-8.228215363
9,pm10,2012-03-31,53.57790753,67.87089028,42.29489496,14.29298275,-11.28301257
10,pm10,2012-06-30,48.62764981,63.44805346,37.26904447,14.82040365,-11.35860534
11,pm10,2012-09-30,29.13659834,39.15715175,21.68036553,10.02055341,-7.456232814
12,pm10,2012-12-31,41.027495,56.79164821,29.63913531,15.76415321,-11.38835969
13,pm10,2013-03-31,57.86647125,82.50375137,40.58637867,24.63728012,-17.28009258
14,pm10,2013-06-30,51.2706906,75.29273766,34.91284547,24.02204706,-16.35784513
15,pm10,2013-09-30,34.69904031,52.48541184,22.94015339,17.78637153,-11.75888692
16,pm10,2013-12-31,42.51380295,66.23511975,27.28799235,23.7213168,-15.2258106
17,pm10,2014-03-31,59.67015572,95.75308311,37.1844683,36.08292739,-22.48568742
18,pm10,2014-06-30,54.05780619,89.34931697,32.70586177,35.29151078,-21.35194442
19,pm10,2014-09-30,31.97907609,54.4422364,18.78433685,22.46316031,-13.19473924
20,pm10,2014-12-31,40.40235507,70.84577417,23.04089855,30.4434191,-17.36145652
21,pm10,2015-03-31,69.80321603,126.0723727,38.64834828,56.26915666,-31.15486775
22,pm10,2015-06-30,42.6067013,79.26101515,22.90320143,36.65431385,-19.70349987
23,pm10,2015-09-30,30.19749306,57.86151939,15.75984517,27.66402633,-14.43764789
24,pm10,2015-12-31,41.12423135,81.16222827,20.83730869,40.03799692,-20.28692266
