no,Type,DATE,Value,INC,DEC,incsub,decsub
1,pm10,2010-03-31,58.99421937,58.99421937,58.99421937,0,0
2,pm10,2010-06-30,52.95915751,54.54793224,51.41665778,1.588774725,-1.542499733
3,pm10,2010-09-30,28.90966956,30.67026844,27.25013626,1.760598876,-1.659533298
4,pm10,2010-12-31,60.49968297,66.10963707,55.36578026,5.609954103,-5.133902706
5,pm10,2011-03-31,65.05367097,73.2184798,57.79934408,8.16480883,-7.254326894
6,pm10,2011-06-30,60.19933063,69.78752329,51.92847142,9.58819266,-8.270859215
7,pm10,2011-09-30,29.05513698,34.69335304,24.3332198,5.638216057,-4.721917183
8,pm10,2011-12-31,46.95933844,57.75406308,38.18223946,10.79472464,-8.777098976
9,pm10,2012-03-31,56.14637436,71.12454722,44.32246639,14.97817286,-11.82390797
10,pm10,2012-06-30,50.53106189,65.9315745,38.72785134,15.40051261,-11.80321055
11,pm10,2012-09-30,25.7647192,34.62562814,19.17137078,8.860908942,-6.593348424
12,pm10,2012-12-31,40.14820674,55.57450762,29.00391877,15.42630088,-11.14428797
13,pm10,2013-03-31,56.66740741,80.79417304,39.74537942,24.12676563,-16.92202799
14,pm10,2013-06-30,49.60676129,72.84920137,33.77979057,23.24244008,-15.82697072
15,pm10,2013-09-30,31.88713768,48.23215681,21.0811545,16.34501913,-10.80598318
16,pm10,2013-12-31,43.44075469,67.67928036,27.8829674,24.23852567,-15.55778729
17,pm10,2014-03-31,59.24891975,95.07712303,36.92196797,35.82820328,-22.32695178
18,pm10,2014-06-30,53.56157133,88.52911635,32.40563152,34.96754502,-21.15593981
19,pm10,2014-09-30,32.81584874,55.86678583,19.27585259,23.05093709,-13.53999615
20,pm10,2014-12-31,44.12977063,77.38181992,25.16659156,33.25204929,-18.96317907
21,pm10,2015-03-31,74.26234041,134.1260473,41.11725733,59.86370692,-33.14508308
22,pm10,2015-06-30,43.5565945,81.02809631,23.41381583,37.47150181,-20.14277867
23,pm10,2015-09-30,30.24650277,57.95542706,15.78542297,27.70892429,-14.4610798
24,pm10,2015-12-31,42.66458431,84.2022481,21.61779282,41.53766379,-21.04679149
