no,Type,DATE,Value,INC,DEC,incsub,decsub
1,pm10,2010-03-31,55.00659401,55.00659401,55.00659401,0,0
2,pm10,2010-06-30,48.05215707,49.49372178,46.65257968,1.441564712,-1.39957739
3,pm10,2010-09-30,26.0378184,27.62352154,24.54314111,1.585703141,-1.494677293
4,pm10,2010-12-31,59.33585139,64.83788688,54.3007095,5.502035492,-5.03514189
5,pm10,2011-03-31,61.63056459,69.36574341,54.75795839,7.735178821,-6.872606196
6,pm10,2011-06-30,56.8252794,65.87607317,49.01798519,9.050793773,-7.807294214
7,pm10,2011-09-30,26.39227211,31.51375312,22.10311239,5.121481014,-4.28915972
8,pm10,2011-12-31,43.19445066,53.123726,35.12104117,9.929275338,-8.073409491
9,pm10,2012-03-31,51.67975134,65.46636281,40.79647293,13.78661147,-10.88327841
10,pm10,2012-06-30,44.19126828,57.65958181,33.86892743,13.46831353,-10.32234085
11,pm10,2012-09-30,22.57952036,30.34498725,16.8012837,7.76546689,-5.778236659
12,pm10,2012-12-31,37.01561405,51.23826671,26.74086716,14.22265266,-10.27474689
13,pm10,2013-03-31,50.85507716,72.50717991,35.66872793,21.65210275,-15.18634923
14,pm10,2013-06-30,47.06448413,69.11578165,32.04862353,22.05129752,-15.0158606
15,pm10,2013-09-30,30.33340882,45.8820025,20.05395668,15.54859368,-10.27945214
16,pm10,2013-12-31,40.93022343,63.76795446,26.27155292,22.83773103,-14.65867051
17,pm10,2014-03-31,55.25250186,88.66404551,34.43153247,33.41154365,-20.82096939
18,pm10,2014-06-30,47.59980159,78.67521935,28.79866278,31.07541776,-18.80113881
19,pm10,2014-09-30,30.30351094,51.5896989,17.80011892,21.28618796,-12.50339202
20,pm10,2014-12-31,38.50351751,67.51615102,21.95801802,29.01263351,-16.54549949
21,pm10,2015-03-31,65.73212497,118.7195294,36.39428387,52.98740442,-29.3378411
22,pm10,2015-06-30,41.21797113,76.67756795,22.15669054,35.45959682,-19.06128059
23,pm10,2015-09-30,28.25212937,54.13400139,14.74457445,25.88187202,-13.50755492
24,pm10,2015-12-31,40.37622866,79.68598025,20.45830189,39.30975159,-19.91792677
