no,Type,DATE,Value,inc10,inc20,inc10sub,inc20sub
1,pm10,2010-03-31,53.54388272,58.89827099,64.25265926,5.35,10.71
2,pm10,2010-06-30,48.79354615,53.67290076,58.55225537,4.88,9.76
3,pm10,2010-09-30,27.54468605,30.29915466,33.05362326,2.75,5.51
4,pm10,2010-12-31,54.30801006,59.73881106,65.16961207,5.43,10.86
5,pm10,2011-03-31,57.82101852,63.60312037,69.38522222,5.78,11.56
6,pm10,2011-06-30,56.27216822,61.89938504,67.52660186,5.63,11.25
7,pm10,2011-09-30,26.23443539,28.85787893,31.48132246,2.62,5.25
8,pm10,2011-12-31,40.69663967,44.76630363,48.8359676,4.07,8.14
9,pm10,2012-03-31,49.87941087,54.86735195,59.85529304,4.99,9.98
10,pm10,2012-06-30,45.8212774,50.40340514,54.98553288,4.58,9.16
11,pm10,2012-09-30,23.61542874,25.97697162,28.33851449,2.36,4.72
12,pm10,2012-12-31,37.61278684,41.37406552,45.1353442,3.76,7.52
13,pm10,2013-03-31,53.03901235,58.34291358,63.64681481,5.3,10.61
14,pm10,2013-06-30,46.90961538,51.60057692,56.29153846,4.69,9.38
15,pm10,2013-09-30,30.24230241,33.26653266,36.2907629,3.02,6.05
16,pm10,2013-12-31,41.80592379,45.98651617,50.16710855,4.18,8.36
17,pm10,2014-03-31,58.13652888,63.95018177,69.76383466,5.81,11.63
18,pm10,2014-06-30,50.32709096,55.35980006,60.39250916,5.03,10.07
19,pm10,2014-09-30,30.02844508,33.03128959,36.03413409,3,6.01
20,pm10,2014-12-31,40.30221039,44.33243143,48.36265246,4.03,8.06
21,pm10,2015-03-31,65.23944444,71.76338889,78.28733333,6.52,13.05
22,pm10,2015-06-30,38.85494132,42.74043545,46.62592958,3.89,7.77
23,pm10,2015-09-30,28.65688048,31.52256852,34.38825657,2.87,5.73
24,pm10,2015-12-31,44.03920362,48.44312399,52.84704435,4.4,8.81
