no,Type,DATE,Value,INC,DEC,incsub,decsub
1,pm10,2010-03-31,49.7648088,49.7648088,49.7648088,0,0
2,pm10,2010-06-30,50.16855902,51.67361579,48.70733885,1.505056771,-1.461220166
3,pm10,2010-09-30,32.25870299,34.223258,30.40692147,1.964555012,-1.851781518
4,pm10,2010-12-31,48.29684501,52.77526656,44.19845488,4.478421547,-4.098390126
5,pm10,2011-03-31,52.40296411,58.97999778,46.55935488,6.577033666,-5.843609226
6,pm10,2011-06-30,47.72346907,55.32458043,41.16668364,7.601111359,-6.556785429
7,pm10,2011-09-30,25.49358394,30.44067245,21.3504752,4.94708851,-4.143108744
8,pm10,2011-12-31,31.68378399,38.96705789,25.76181581,7.283273897,-5.92196818
9,pm10,2012-03-31,49.24355922,62.38026752,38.87332038,13.1367083,-10.37023884
10,pm10,2012-06-30,48.90181624,63.80577847,37.47917021,14.90396223,-11.42264603
11,pm10,2012-09-30,32.105361,43.14692051,23.88940376,11.04155951,-8.215957244
12,pm10,2012-12-31,33.21182621,45.97293475,23.99292989,12.76110854,-9.218896321
13,pm10,2013-03-31,55.0354952,78.46745644,38.60078903,23.43196124,-16.43470617
14,pm10,2013-06-30,49.77815934,73.10090518,33.8965043,23.32274584,-15.88165504
15,pm10,2013-09-30,33.47801932,50.63850803,22.13291468,17.16048871,-11.34510464
16,pm10,2013-12-31,43.36212258,67.55677409,27.83249644,24.19465151,-15.52962614
17,pm10,2014-03-31,59.11259112,94.8583556,36.83701248,35.74576448,-22.27557864
18,pm10,2014-06-30,52.26613835,86.38796302,31.62187326,34.12182467,-20.64426509
19,pm10,2014-09-30,32.43920151,55.22556913,19.05461204,22.78636762,-13.38458947
20,pm10,2014-12-31,40.15484601,70.41176554,22.89974759,30.25691953,-17.25509842
21,pm10,2015-03-31,65.46104938,118.2299367,36.24419589,52.76888734,-29.21685349
22,pm10,2015-06-30,38.27871479,71.20968534,20.57669542,32.93097055,-17.70201937
23,pm10,2015-09-30,32.55446161,62.37771486,16.98992938,29.82325325,-15.56453223
24,pm10,2015-12-31,40.8928009,80.70548026,20.72004479,39.81267936,-20.17275611
