no,Type,DATE,Value,INC,DEC,incsub,decsub
1,pm10,2010-03-31,57.58323554,57.58323554,57.58323554,0,0
2,pm10,2010-06-30,57.98202845,59.7214893,56.2932315,1.739460854,-1.688796945
3,pm10,2010-09-30,35.43257171,37.59041533,33.39859714,2.157843617,-2.033974566
4,pm10,2010-12-31,56.51342712,61.75374768,51.71779147,5.240320557,-4.79563565
5,pm10,2011-03-31,55.55199074,62.52425499,49.35722426,6.972264251,-6.194766482
6,pm10,2011-06-30,53.66627993,62.21392699,46.29300449,8.547647057,-7.373275437
7,pm10,2011-09-30,24.69442937,29.4864401,20.68119583,4.792010731,-4.013233545
8,pm10,2011-12-31,36.34278101,44.69703656,29.55000674,8.354255551,-6.792774272
9,pm10,2012-03-31,51.88139499,65.72179895,40.95565229,13.84040396,-10.9257427
10,pm10,2012-06-30,49.19435419,64.18747414,37.70337619,14.99311995,-11.490978
11,pm10,2012-09-30,29.23020833,39.28295575,21.75002015,10.05274742,-7.48018818
12,pm10,2012-12-31,40.69880879,56.33666963,29.4016854,15.63786084,-11.29712339
13,pm10,2013-03-31,58.60807918,83.56110695,41.10652755,24.95302777,-17.50155163
14,pm10,2013-06-30,51.14589479,75.1094708,34.82786559,23.96357601,-16.3180292
15,pm10,2013-09-30,31.75003766,48.02478073,20.99051523,16.27474307,-10.75952243
16,pm10,2013-12-31,45.18852683,70.40225241,29.00479583,25.21372558,-16.183731
17,pm10,2014-03-31,60.16288863,96.54377478,37.49152316,36.38088615,-22.67136547
18,pm10,2014-06-30,54.12164001,89.45482455,32.74448228,35.33318454,-21.37715773
19,pm10,2014-09-30,32.66231071,55.60539761,19.18566518,22.9430869,-13.47664553
20,pm10,2014-12-31,40.06030962,70.24599541,22.84583481,30.18568579,-17.21447481
21,pm10,2015-03-31,64.61032407,116.6934322,35.77316991,52.08310811,-28.83715416
22,pm10,2015-06-30,38.75626891,72.09807667,20.83340429,33.34180776,-17.92286462
23,pm10,2015-09-30,36.36857587,69.6859522,18.98048701,33.31737633,-17.38808886
24,pm10,2015-12-31,46.45803944,91.68895997,23.53990523,45.23092053,-22.91813421
