no,Type,DATE,Value,inc10,inc20,inc10sub,inc20sub
1,pm10,2010-03-31,49.95907138,54.95497852,59.95088566,5,9.99
2,pm10,2010-06-30,44.34924839,48.78417323,53.21909807,4.43,8.87
3,pm10,2010-09-30,24.0844655,26.49291205,28.9013586,2.41,4.82
4,pm10,2010-12-31,43.43592826,47.77952109,52.12311392,4.34,8.69
5,pm10,2011-03-31,48.05944753,52.86539228,57.67133704,4.81,9.61
6,pm10,2011-06-30,49.15120707,54.06632778,58.98144849,4.92,9.83
7,pm10,2011-09-30,28.32623173,31.1588549,33.99147808,2.83,5.67
8,pm10,2011-12-31,44.33400848,48.76740933,53.20081018,4.43,8.87
9,pm10,2012-03-31,49.90899762,54.89989738,59.89079714,4.99,9.98
10,pm10,2012-06-30,48.14562201,52.96018421,57.77474641,4.81,9.63
11,pm10,2012-09-30,26.63900966,29.30291063,31.96681159,2.66,5.33
12,pm10,2012-12-31,38.090614,41.8996754,45.7087368,3.81,7.62
13,pm10,2013-03-31,56.15981083,61.77579191,67.39177299,5.62,11.23
14,pm10,2013-06-30,47.66230159,52.42853175,57.1947619,4.77,9.53
15,pm10,2013-09-30,32.81106582,36.0921724,39.37327899,3.28,6.56
16,pm10,2013-12-31,41.20917874,45.33009662,49.45101449,4.12,8.24
17,pm10,2014-03-31,56.13612654,61.7497392,67.36335185,5.61,11.23
18,pm10,2014-06-30,50.26109585,55.28720543,60.31331502,5.03,10.05
19,pm10,2014-09-30,31.19505793,34.31456372,37.43406951,3.12,6.24
20,pm10,2014-12-31,46.5741828,51.23160108,55.88901936,4.66,9.31
21,pm10,2015-03-31,68.94380487,75.83818536,82.73256584,6.89,13.79
22,pm10,2015-06-30,42.7300252,47.00302772,51.27603024,4.27,8.55
23,pm10,2015-09-30,32.44275996,35.68703596,38.93131196,3.24,6.49
24,pm10,2015-12-31,39.48592189,43.43451408,47.38310627,3.95,7.9
